번호,병원명,주소,담당의,대표전화,위도,경도
94,Do두신경과의원,"경남 통영시 무전대로 41 1층, 2층, 3층, 4층","이준환, 이연효",055-725-7979,34.860615,128.425267
93,NDB 남양주 백병원,경기 남양주시 진접읍 해밀예당1로 30-25 NDB 남양주 백병원,임가영,031-572-3111,37.711514,127.187626
92,가천대학교 길병원,"인천 남동구 남동대로774번길 21 (구월동, 가천대학교 길병원)",박기형,1577-2299,37.452026,126.709274
91,가톨릭관동대학교 국제성모병원,"인천광역시 서구 심곡로100번길 25 (심곡동, 인천국제성모병원) 1600-8291",김혜윤,1600-8291-,37.542492,126.683583
90,가톨릭대학교 대전성모병원,대전광역시 중구 대흥로 64 1577-0888,"이택준, 이상봉, 류선영",1577-0888-,36.323354,127.420212
89,가톨릭대학교 서울성모병원,"서울 서초구 반포대로 222 (반포동, 가톨릭대학교서울성모병원)","김우준, 윤미연",02-1588-1511,37.501765,127.004736
88,가톨릭대학교 성빈센트병원,경기 수원시 팔달구 중부대로 93,고석범,1577-8588,37.278103,127.027563
87,가톨릭대학교 여의도성모병원,서울 영등포구 63로 10 가톨릭대학교 여의도성모병원,박성진,1661-7575,37.518514,126.936643
86,가톨릭대학교 의정부성모병원,경기 의정부시 천보로 271 가톨릭대학교 의정부성모병원,김성훈,1661-7500,37.758534,127.077827
85,가톨릭대학교 인천성모병원,인천광역시 부평구 동수로 56 (구주소 : 부평동 665-8) 가톨릭대학교 인천성모병원,최윤호,1544-9004-,37.484829,126.725175
84,강남세브란스병원,"서울특별시 강남구 언주로 211 (도곡동, 강남세브란스병원)","김원주, 최보규, 김경수",02-1599-6144,37.492771,127.046474
83,강동경희대학교병원,"서울 강동구 동남로 892 (상일동, 강동경희대학교병원)","신원철, 변정익, 정유진",02-440-7000,37.553629,127.157636
82,강릉아산병원,"강원 강릉시 사천면 방동길 36 (방동리, 강릉아산병원아파트)",임수환,033-610-3114,37.81855,128.857982
81,강북삼성병원,서울 종로구 새문안로 29 강북삼성병원,선우준상,1599-8114,37.568565,126.967407
80,강원대학교병원,강원특별자치도 춘천시 백령로 156,"김성훈, 이승환, 김성헌, 장재원, 김예신, 김성은",033-258-2000,37.875153,127.744461
79,건양대학교병원,대전 서구 관저동로 158 -,장혜연,1577-3330,36.307022,127.342201
78,경북대학교병원,대구 중구 삼덕동2가 경북대학교병원,서종근,1666-0114,35.866629,128.604407
77,경상국립대학교병원,경남 진주시 강남로 79,"김영수, 김민정",055-750-8000,35.176625,128.095701
76,경희대학교병원 (경희의료원),서울 동대문구 경희대로 23 .,황경진,02-958-8114,37.594434,127.051258
75,계명대학교 동산병원,대구 달서구 달구벌대로 1035,"조용원 (수면센터장), 김근태",1577-6622-,35.853988,128.480554
74,고려대학교 구로병원,서울 구로구 구로동로 148 고려대학교 구로병원,김지현,02-2626-1114,37.492347,126.884766
73,고려대학교 안암병원,서울 성북구 고려대로 73 고려대학교 안암병원,"김정빈, 김하욤",02-920-5510,37.587306,127.027039
72,고신대학교 복음병원,부산광역시 서구 암남동 14-8,김명국,051-990-6114,35.080529,129.015944
71,군산의료원,전북특별자치도 군산시 의료원로 27 군산의료원,이상암,063-472-5040,35.95482,126.712467
70,굿슬립신경과의원,서울 강남구 논현로159길 17 삼화빌딩 2층 202호,김주한,02-6015-0109,37.523149,127.026697
69,단국대학교병원,충남 천안시 동남구 망향로 359(안서동 산16-5번지),신혜림,1588-0063,36.842292,127.172352
68,대구가톨릭대학교병원,대구 남구 대명4동 대구가톨릭의과대학병원,김지언,053-650-3000,35.844107,128.565417
67,대구삼성신경과의원,대구 수성구 달구벌대로 2401 3층 (범어역 4번 출구) 대구삼성신경과의원,이종태,053-753-5566,35.860348,128.625081
66,대전선병원,대전 중구 목중로 29,서호성,1588-7011,36.336265,127.41017
65,동국대학교 일산병원,경기 고양시 일산동구 동국로 27 동국대학교 일산병원,"김광기, 박수련",1577-7000,37.676641,126.80655
64,동수원병원,경기 수원시 팔달구 중부대로 165 동수원병원,정승철,1533-2114,36.336179,127.410105
63,동아대학교병원,부산 서구 대신공원로 26 동아대학교병원,"천상명, 이윤경",051-240-5261,35.120387,129.01777
62,류마성모신경과내과의원,"경기 고양시 덕양구 화신로272번길 58 영프라자 건물 제3층 제303, 304호",임성철,031-970-2023,37.633858,126.832084
61,보라매병원,서울 동작구 신대방2동 시립보라매병원,"남현우, 구대림",-,37.493438,126.924486
60,부산대학교병원,부산 서구 구덕로 179 부산대학교병원,김지영,051-240-7000,37.493438,126.924486
59,분당서울대학교병원,경기 성남시 분당구 구미로173번길 82 분당서울대학교병원,"윤창호, 이우진 등",1588-3369,37.349974,127.124221
58,분당차병원,경기 성남시 분당구 야탑로 59 분당차병원,"채규영, 신정원, 이선경",031-780-5000,37.41042,127.125261
